,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
1,UA_11777,12.70605943,24.94300814,27.9049889,NA,26.46616578,10.86133866,28.87627679,NA,-25.5156962,18.05394546,26.80133333,11.59666667,1972,SE,1321,Total Length,,F,,1,57.31666667,-133.5,AK,,Harbor Seal,NA
2,UA_19119,13.1256643,26.3013878,26.26616815,NA,29.16520012,12.68146596,31.61285198,NA,-31.2271794,19.04623505,28.95833333,9.566666667,1972,SE,1448,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
3,UA_99543,13.32026221,23.74117747,26.91242466,NA,24.00161397,10.94998283,27.96036738,NA,-35.92554374,10.82711094,27.00233333,7.63,2003,SE,1540,Total Length,5,M,Adult,1,59.46,-139.633,AK,,Harbor Seal,NA
4,UA_99544,14.32899067,22.35446448,23.65657874,NA,24.04891297,10.78818887,25.87545885,NA,-27.65739387,12.34215468,26.503,10.213,2003,SE,1420,Total Length,3,M,Adult,1,59.46,-139.633,AK,,Harbor Seal,NA
5,UA_19123,13.88382948,26.16983141,27.64448742,NA,27.29906187,10.50017451,28.87726599,NA,-28.73223105,18.10381927,32.02266667,11.73566667,1972,SE,1536.7,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
6,UA_35432,12.13197539,23.56145682,25.61983555,NA,24.86793939,13.51082534,26.68983796,NA,-24.45168669,16.56321459,27.641,11.2365,1995,SE,1110,Total Length,,M,,1,57.25055556,-135.3836111,AK,,Harbor Seal,NA
7,UA_35434,13.7822167,21.19852501,24.80566356,NA,24.64652901,10.35739802,26.40187552,NA,-19.40305018,13.5456828,25.195,10.045,1996,SE,1020,Total Length,,M,,1,57.03416667,-135.2166667,AK,,Harbor Seal,NA
8,UA_37973,14.15152812,22.63126406,24.8398804,NA,23.53022735,10.04461575,26.33890882,NA,-23.99968324,19.78216045,26.168,9.224333333,1995,SE,1260,Total Length,,F,,1,55.525,-131.85,AK,,Harbor Seal,NA
9,UA_37974,14.68881853,23.89903427,25.52659584,NA,23.53341104,9.780950044,26.77078264,NA,-25.09271425,16.52822476,26.51733333,9.023333333,1995,SE,1170,Total Length,,M,,1,55.525,-131.85,AK,,Harbor Seal,NA
10,UA_99572,13.94584044,23.41396189,25.89104566,NA,23.11404603,10.95473231,27.24174933,NA,-31.52108119,13.83041378,28.039,8.243666667,2003,SE,NA,,11,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
11,UA_11713,12.82847691,24.18158185,24.31755773,NA,23.73680195,11.3619661,27.18928878,NA,-32.52043976,14.4862648,26.40933333,9.011666667,1965,SE,NA,,,,,1,55.28333333,-132.0666667,AK,,Harbor Seal,NA
12,UA_11779,NA,22.47344242,23.81949556,NA,23.595246,8.82982312,23.40487522,NA,-28.17958156,11.63115912,22.87066667,9.556,1972,SE,1334,Total Length,,F,,1,57.25055556,-135.3836111,AK,,Harbor Seal,NA
13,UA_36254,14.41604159,22.82226976,25.67752102,NA,23.72188558,10.04665668,26.40426562,NA,-24.83616674,14.3319274,26.48033333,10.58066667,1965,SE,NA,,,M,,1,55.625,-131.9611111,AK,,Harbor Seal,NA
14,UA_41615,14.40362863,22.35628175,23.66213677,NA,22.19827309,9.751989565,22.04381816,NA,-32.31999637,16.5180575,23.31933333,7.969666667,1995,SE,1780,Total Length,,F,,1,55.605,-133.085,AK,,Harbor Seal,NA
15,UA_41616,13.01539728,22.99226051,20.61550681,NA,22.29785613,8.87896566,26.51584133,NA,-28.70426939,17.95906157,24.25266667,8.454666667,1995,SE,1550,Total Length,,F,,1,55.605,-133.085,AK,,Harbor Seal,NA
16,UA_99566,12.60927043,23.37408785,25.6868656,NA,23.56216237,12.18613255,26.48056505,NA,-27.82985457,17.31916319,23.451,10.41066667,2003,SE,NA,,2,,,1,59.555,-139.798,AK,,Harbor Seal,NA
17,UA_99535,14.54377997,22.48071966,25.76820367,NA,23.26772706,13.4953303,26.30616156,NA,-30.78940993,11.84195759,27.71533333,8.641333333,2003,SE,1250,Total Length,12,F,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
18,UA_99536,13.62636397,20.66839491,22.1401119,NA,21.15855062,11.54848949,23.92387256,NA,-29.32624497,15.88243443,22.38733333,8.765,2003,SE,1430,Total Length,5,,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
19,UA_99563,12.9146639,22.15804668,22.68473549,NA,23.64883179,9.906370327,26.156115,NA,-26.05333871,16.68534394,25.0435,8.071166667,2003,SE,NA,,5,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
20,UA_99657,14.04494797,19.89473683,23.12635346,NA,20.31570752,11.03731535,25.10425022,NA,-28.62374667,19.75591126,23.70666667,6.988333333,2004,SE,1350,Total Length,11,F,Adult,1,58.30166667,-134.4183333,AK,,Harbor Seal,NA
21,UA_99667,NA,21.19604678,20.90118778,NA,21.40512775,11.21768451,25.57810519,NA,-17.01373992,16.63592428,24.31,11.25183333,2005,SE,1345,Total Length,3,M,Adult,1,55.795,-133.3066667,AK,,Harbor Seal,NA
