Date,Time,Analysis,Identifier 1,Identifier 2,Peak Nr,Is Ref _,Rt,Width,Area All,d 29N2/28N2,d 15N/14N,AA_ID
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.1,36.018,0.143,0.143,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.5,36.511,0,0,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.5,36.73,-0.001,-0.001,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,1630.6,35.1,1.328,10.456,10.456,ALA
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,1776.7,43.5,1.821,15.955,15.955,VAL
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,0,1881.8,43.5,2.72,8.114,8.114,LEU
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,1924.5,56.4,2.899,1.467,1.467,ILE
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",8,0,1991.1,53.1,1.904,18.774,18.774,NLE
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",9,0,2149.6,28.6,0.98,2.095,2.095,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",10,0,2268.7,26.8,2.005,2.773,2.773,PRO
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",11,0,2298.2,22.2,3.371,-0.539,-0.539,THR
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",12,0,2319.7,19,4.473,-5.356,-5.356,ASP
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",13,0,2337.9,42,3.914,6.839,6.839,SER
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",14,0,2449.5,26.3,3.516,-0.354,-0.354,GLU
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",15,0,2532.5,51.4,5.508,9.812,9.812,PHE
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",16,0,2858.5,52.3,2.94,12.708,12.708,TYR
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",17,0,3129.4,26.3,35.854,0.12,0.12,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",18,1,3174.1,23.4,30.26,0,0,
07/17/20,11:54:33,25965,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",19,0,3219,26.5,36.135,-0.091,-0.091,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.1,35.38,0.108,0.108,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.5,36.312,0,0,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.5,36.279,-0.039,-0.039,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,578.1,14,0.439,-538.738,-538.738,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,1637.9,38.9,5.524,1.26,1.26,ALA
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,0,1783.6,52,5.56,3.837,3.837,VAL
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,1887.1,43.5,5.741,3.092,3.092,LEU
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",8,0,1928.9,48.1,5.736,-1.101,-1.101,ILE
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",9,0,1993.9,50.8,3.185,15.169,15.169,NLE
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",10,0,2148.3,27,1.354,-7.217,-7.217,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",11,0,2172.6,25.7,0.471,8.886,8.886,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",12,0,2264.7,25.5,2.452,0.2,0.2,PRO
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",13,0,2294,23.2,3.783,-0.025,-0.025,THR
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",14,0,2315.3,19.6,4.339,-6.128,-6.128,ASP
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",15,0,2333.1,40.1,3.735,5.473,5.473,SER
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",16,0,2444.7,43.9,2.681,-2.883,-2.883,GLU
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",17,0,2527.6,46.2,4.993,4.952,4.952,PHE
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",18,0,2856,22.6,2.333,5.33,5.33,TYR
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",19,0,3129.4,26.3,36.087,0.154,0.154,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",20,1,3174.1,23.4,30.394,0,0,
07/17/20,12:50:41,25966,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",21,0,3218.8,26.5,36.272,-0.036,-0.036,
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.8,36.538,0.05,0.05,
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.5,36.42,0,0,
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.3,36.425,-0.074,-0.074,
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,578.1,14.6,0.619,-296.137,-296.137,
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,1638.8,38.9,5.776,-0.338,-0.338,ALA
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,0,1784.7,44.5,6.046,2.589,2.589,VAL
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,1887.9,43.9,6.123,1.769,1.769,LEU
07/17/20,13:46:55,25967,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",8,0,1929.9,47,5.952,-1.318,-1.318,ILE
