Date,Time,Analysis,Identifier 1,Identifier 2,Peak Nr,Is Ref _,Rt,Width,Area All,d 29N2/28N2,d 15N/14N
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.5,36.215,0.049,0.049
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.8,36.377,0,0
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.8,36.368,-0.056,-0.056
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,746.8,180.2,19.586,129.518,129.518
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,3129.1,26.5,35.097,0.151,0.151
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,1,3173.9,23.8,29.827,0,0
06/23/20,14:36:59,25821,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,3218.6,26.8,35.533,-0.106,-0.106
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.8,35.732,-0.304,-0.304
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.4,27.2,36.111,0,0
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.8,35.7,-0.097,-0.097
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,746.8,180.2,19.98,-125.855,-125.855
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,3129.8,26.5,35.102,-0.008,-0.008
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,1,3174.5,23.6,29.702,0,0
06/23/20,15:32:32,25822,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,3219.3,26.5,35.464,-0.133,-0.133
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.7,26.8,35.438,0.531,0.531
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.8,35.629,0,0
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,136.9,26.8,35.626,0.319,0.319
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,559.1,9.4,0.185,-405.928,-405.928
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,3131.5,26.5,34.916,0.12,0.12
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,1,3176.2,23.8,29.665,0,0
06/23/20,16:28:07,25823,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,3221.1,26.8,35.44,-0.108,-0.108
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",1,0,47.4,26.3,34.581,0.082,0.082
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",2,1,92.2,26.8,35.575,0,0
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",3,0,137.1,26.8,35.605,-0.053,-0.053
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",4,0,559.5,9.6,0.203,-225.72,-225.72
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",5,0,1530.7,42.6,27.582,-1.085,-1.085
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",6,0,1559.8,58.5,1.687,11.473,11.473
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",7,0,1658.8,77.5,19.686,1.854,1.854
06/23/20,17:24:18,25824,12AA,"Feddern, AC-PV, 02-20-2018; 100 ul",8,0,1752.3,42.8,21.31,0.893,0.893
