Sample.ID,Sex,Age,Year,month,locality,Lat,Long,Length,Type,Lifestage,State,Species,Region,Place Holder
UA_100319,F,juvenile,2007,6,Cape St. Stephens,51.88082,177.2075831,790,total length,juvenile,,Sea Lion,,
UA_100404,M,juvenile,2007,6,Cape Sabak,52.35833333,173.7266667,1080,total length,juvenile,,Sea Lion,,
UA_101097,M,juvenile,2003,6,Hazy-Grassy Island,56.58935222,-132.4243606,990,total length,juvenile,,Sea Lion,,
UA_101120,F,juvenile,2003,6,Hazy-Grassy Island,56.58935222,-132.4243606,1100,total length,juvenile,,Sea Lion,,
UA_102605,U,,2010,8,Grant Lagoon,57.463614,-154.645436,,,,,Sea Lion,,
UA_110268,F,yearling,2010,11,"Lynn Canal, N of Eagle Beach, next to kayak landing parking lot",58.53915,-134.84837,1310,total length,yearling,,Sea Lion,,
UA_110282,F,neonate,2004,3,Cape Resurrection,59.8731,-149.292956,760,total length,neonate,,Sea Lion,,
UA_110284,F,adult,2010,1,"Lowell Point Road, Resurrection Bay, just north of Storm Chasers shop building.",60.085739,-149.443729,2100,total length,adult,,Sea Lion,,
UA_110709,M,10.38 months,2005,4,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_110710,F,7.35 months,2000,1,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110711,M,7.35 months,2000,1,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110712,M,7.49 months,2000,1,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110713,F,2.29 months,2004,8,Sea Lion Rocks,54.801791,-133.523154,,,,,Sea Lion,,
UA_110716,M,22.61 months,2000,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110717,M,10.48 months,2000,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110718,F,10.48 months,2000,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110721,M,10.51 months,2000,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110722,F,10.51 months,2000,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110724,M,14.45 months,2000,8,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110737,F,15.11 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110739,F,15.18 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110740,F,2.98 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110741,M,2.98 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110743,M,2.98 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110744,M,15.21 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110745,M,15.21 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110746,F,3.01 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110747,F,3.01 months,2000,9,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_110749,M,2.42 months,2000,8,Seal Rocks,60.162505,-146.833314,,,,,Sea Lion,,
UA_110750,M,2.42 months,2000,8,Seal Rocks,60.162505,-146.833314,,,,,Sea Lion,,
UA_110751,F,23.27 months,2004,5,Semisopochnoi Island,51.943307,-179.625207,,,,,Sea Lion,,
UA_110756,M,15.05 months,2000,9,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110757,F,15.05 months,2000,9,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110758,M,15.05 months,2000,9,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110767,M,15.15 months,2000,9,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110768,F,14.25 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110769,M,14.28 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110770,M,5.11 months,2002,11,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110772,F,22.71 months,2000,4,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110773,M,10.55 months,2000,4,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
